Consider only the below columns and prepare a prediction model for predicting Price.

Corolla<-Corolla[c("Price","Age_08_04","KM","HP","cc","Doors","Gears","Quarterly_Tax","Weight")]

test_rmse
1183.3255007296425
train_rmse
1223.9115702176152

	0
1410	7665.414963048157
1229	8429.866386427653
841	7935.876634718876
280	13359.860680836222
305	12566.637242066046
1409	9385.309481589607
1382	9068.803566151117
1122	9273.859701978261
909	8452.677338888076
1062	5831.675862716451
1230	8477.791538086556
1355	8962.396566225532
1036	9615.02710832392
294	12760.507895810224
274	12446.014993205565
313	12887.578369045836
1420	9526.335982004643
379	7964.136999322071
1038	9814.56003063079
1254	8165.324681604343
617	7433.691004271393
200	11476.543330038909
937	9627.860323712111
8	20061.686377043196
345	13305.547877002864
1303	8725.138808690268
27	15471.415849731291
123	17391.192611145438
310	13114.444122051731
663	8175.742200489671
1431	8965.037034965735
807	7982.611633001026
906	9288.677605462553
697	9003.508313523991
626	8884.663248248376
253	12980.7811412835
177	20532.103054589068
1419	8959.359937844998
993	10858.100917130154
1257	7600.097118631069
1095	7427.799144774712
272	12888.018611815154
517	9745.74729540461
411	10081.649453629663
556	12290.862725768662
735	9679.604317453288
1092	7589.966642289518
1110	7627.827074798977
708	9043.261945301054
1165	8831.995404407935
606	7454.343210842139
580	10958.486808771973
755	8328.041212914419
1009	10175.625488269594
1265	7961.713210584076
660	7701.692755687771
365	12086.706192735193
1309	8948.83789080368
278	11435.278684581357
887	9089.41472282258
727	9324.267190835828
472	9956.316237987936
566	10354.024266525474
615	7356.003394764581
56	15417.745982805824
77	16076.953375690293
221	21481.124413289443
860	8589.725985635121
882	8773.618737721574
265	13145.456712072222
1331	7679.892382392263
191	8834.604248842317
1014	10903.610780201476
1434	8795.494379915057
954	9497.97239082087
1052	6808.325327701425
79	15427.646416241996
45	18166.358512802522
1105	7438.865063441139
429	10945.14640299367
410	9836.08553857342
1139	7901.406103929876
536	10806.268596448383
455	9727.06370619535
193	11324.173063560509
693	7789.905458082558
1134	7983.612834024885
1174	7784.469045642534
499	9966.64569032519
422	10329.820801939402
827	10187.81500175202
858	10016.369429219054
317	12292.14518098576
1055	6774.007876099292
275	12739.053777675264
1108	7703.943696367795
509	11638.72561280433
742	9524.900118355672
787	9366.841790453223
1151	7531.021458441763
1370	9085.078749405475
1005	9919.682501364141
745	8176.832814285255
553	11351.088824518834
325	12966.666892401518
885	10076.776415396964
147	19183.12397317453
1417	9290.570885447387
658	8651.920076517692
175	20505.244773527287
471	9517.2816971026
1351	8943.667325273625
695	8491.884170416131
1256	7436.792315387727
363	13288.713926641914
1021	8410.025436715652
744	8048.600123980792
100	17473.83070381575
368	12882.929956369873
711	8805.214911290339
54	16972.494105233483
144	18746.092941700623
1239	7288.904146519109
1143	8853.694738743521
935	10653.50485894925
743	9456.41063260919
1027	10975.35662017393
508	11433.466044856941
677	8693.523699670093
286	12927.022195121108
72	16056.81480266586
696	8744.479489755364
81	15779.349918560612
1310	8891.189884936037
1407	9811.42859658213
414	10147.307794676504
905	9275.878634925884
146	18436.229675891147
1430	8167.480860281759
1353	8958.243546363272
1196	7423.302059388481
157	19507.429942934483
510	10907.925917781542
473	9949.762747660123
842	10726.217976613974
1219	8280.95070718951
852	9254.183911296815
391	9672.643861991712
360	12668.603331503793
211	14053.303162840493
1001	9192.667633306895
135	17395.70220081323
4	15766.062087496734
284	12774.227250010863
1107	7958.928793948962
853	9455.232399621977
810	8939.05654588352
1018	10087.452487149289
590	11393.502175931784
638	9145.418258518741
351	12633.99418795419
532	10737.722048723728
292	13134.021451275916
1100	7561.998293079272
1295	7941.850269610957
92	20241.809081977226
1390	9259.79469107911
341	12513.770369132173
1067	6589.162386581762
1071	7842.538043953843
1233	7733.702932544689
57	15783.782836516972
938	9193.52930227602
793	9760.755230535458
661	9611.774219175739
642	7788.4034692229525
302	12235.03386711246
462	11450.185233156022
291	13101.579053480322
1220	8705.942558548142
799	9017.081670998556
1169	8794.040969952832
403	10336.672664831465
733	8373.42884791973
809	8299.700144592933
1030	8470.500621579624
803	9618.737587915639
782	10096.609798717618
1352	9350.971928111283
138	21829.6874032644
90	16659.29455164037
133	17964.840297592
862	9780.70225343489
1056	7319.290572973601
1081	7988.416151791696
31	16484.76646799529
1358	8816.3255560685
894	9453.049620210122
32	15642.07935721706
1106	7364.916846249278
1096	7485.330587009168
194	11292.328488178207
1094	7400.532241436191
1320	8745.779233048686
261	12971.677606206964
435	10655.052798517841
1017	9459.360819845138
1026	11410.525130992575
547	9977.742276795429
792	9286.866893410608
1347	8636.45980618214
342	12545.33766255901
704	7854.097471336816
428	10937.286504425221
764	9612.36451156953
140	17283.569939328107
218	10790.36972881473
1046	6022.137057332595
1127	8509.418420413353
511	11415.423716638554
51	14829.441641464065
884	10445.972171302521
1259	9066.12605892603
507	10554.736574059802
734	9533.230567204104
269	12250.869329712936
1398	9387.623124881055
236	12095.940846510079
538	9829.23900481213
634	10552.308766230592
1114	8113.0400929205825
1069	7246.976709501452
605	5670.177323586093
877	10434.361345000754
1102	8031.838358036875
934	8508.941254887824
1128	8122.612854742565
